1,390
2,912
3,28
4,643
5,1254
6,32
7,1226
8,1848
9,71
10,485
11,598
12,1850
13,452
14,1179
15,1635
16,1709
17,1829
18,1863
19,1540
20,16
21,1826
22,1893
23,426
24,1248
25,1096
26,1501
27,1844
28,1859
29,201
30,1981
31,1759
32,159
33,551
34,699
35,619
36,1025
37,1717
38,526
39,1258
40,1546
41,1243
42,226
43,1320
44,1709
45,927
46,255
47,1723
48,811
49,967
50,645
51,893
52,708
53,879
54,626
55,413
56,1581
57,1389
58,272
59,1610
60,1222
61,1171
62,778
63,1493
64,1295
65,1368
66,1996
67,521
68,1723
69,1297
70,1910
71,962
72,773
73,823
74,377
75,585
76,561
77,1453
78,1973
79,1942
80,244
81,14
82,771
83,1528
84,470
85,645
86,1848
87,1435
88,957
89,752
90,1435
91,382
92,930
93,227
94,1090
95,1882
96,598
97,224
98,1266
99,509
100,1231
101,1935
102,1012
103,147
104,1370
105,716
106,1575
107,1024
108,1879
109,1802
110,856
111,353
112,900
113,669
114,366
115,1219
116,1858
117,213
118,1739
119,637
120,1362
121,1942
122,1441
123,1206
124,1548
125,356
126,627
127,1340
128,1107
129,1291
130,1320
131,1261
132,689
133,674
134,342
135,1714
136,621
137,1097
138,101
139,1398
140,1524
141,1753
142,896
143,544
144,833
145,1982
146,6
147,694
148,850
149,632
150,1262
151,1943
152,992
153,893
154,1646
155,810
156,527
157,548
158,1308
159,330
160,1660
161,1783
162,1456
163,1339
164,1283
165,1491
166,571
167,1021
168,878
169,1770
170,90
171,1229
172,837
173,822
174,762
175,1996
176,139
177,1296
178,588
179,1997
180,805
181,502
182,1145
183,1182
184,437
185,398
186,432
187,197
188,343
189,832
190,804
191,640
192,1031
193,1703
194,966
195,187
196,167
197,976
198,1923
199,1896
200,1744
201,1340
202,626
203,1775
204,407
205,908
206,462
207,271
208,1610
209,155
210,1412
211,1844
212,1017
213,1784
214,1529
215,1052
216,1857
217,146
218,319
219,10
220,851
221,1917
222,182
223,1099
224,242
225,371
226,1251
227,1331
228,766
229,1877
230,46
231,368
232,521
233,1115
234,617
235,1616
236,424
237,444
238,1950
239,573
240,234
241,968
242,203
243,209
244,696
245,323
246,710
247,172
248,1751
249,2000
250,1760
251,464
252,462
253,993
254,1143
255,110
256,1417
257,1999
258,1302
259,779
260,1559
261,1938
262,637
263,789
264,648
265,735
266,361
267,1594
268,94
269,1772
270,817
271,862
272,787
273,48
274,1435
275,1497
276,1217
277,222
278,1716
279,1812
280,1298
281,245
282,482
283,779
284,263
285,1521
286,446
287,141
288,1505
289,545
290,282
291,1593
292,0
293,1892
294,1103
295,1170
296,803
297,1819
298,1106
299,1105
300,368
301,825
302,216
303,1896
304,1274
305,139
306,1274
307,1683
308,1258
309,1336
310,905
311,355
312,799
313,1898
314,728
315,1554
316,1546
317,623
318,150
319,1677
320,989
321,436
322,958
323,1477
324,375
325,1200
326,1161
327,1783
328,1062
329,936
330,1466
331,751
332,1956
333,1151
334,918
335,1020
336,1098
337,74
338,1908
339,1946
340,1257
341,1084
342,696
343,1580
344,1548
345,1657
346,1030
347,259
348,556
349,1449
350,1172
351,1117
352,1845
353,1860
354,456
355,1730
356,1285
357,1382
358,1659
359,896
360,961
361,1962
362,1328
363,1219
364,353
365,442
366,643
367,1386
368,1347
369,1699
370,86
371,737
372,1473
373,987
374,300
375,1252
376,225
377,1189
378,1777
379,701
380,1586
381,1319
382,576
383,253
384,1398
385,281
386,193
387,754
388,537
389,763
390,1164
391,839
392,1844
393,343
394,1858
395,1296
396,492
397,43
398,1543
399,1110
400,845
401,1077
402,1082
403,1221
404,1780
405,180
406,1351
407,369
408,1926
409,1364
410,345
411,1791
412,1095
413,1662
414,764
415,1257
416,1727
417,259
418,1829
419,1319
420,930
421,1869
422,292
423,640
424,884
425,446
426,514
427,1200
428,173
429,523
430,183
431,1064
432,1655
433,695
434,1958
435,102
436,690
437,120
438,1409
439,1719
440,1414
441,1500
442,1707
443,1268
444,1751
445,32
446,1515
447,1136
448,652
449,1678
450,1357
451,1187
452,862
453,1085
454,325
455,1054
456,377
457,922
458,675
459,217
460,1698
461,1883
462,690
463,332
464,1313
465,1291
466,961
467,1283
468,936
469,810
470,33
471,231
472,792
473,1660
474,1755
475,339
476,1574
477,1396
478,1831
479,659
480,1574
481,528
482,1581
483,291
484,408
485,1572
486,1211
487,1712
488,735
489,318
490,1776
491,58
492,375
493,963
494,152
495,953
496,18
497,100
498,136
499,339
500,1234
501,607
502,124
503,1688
504,655
505,1031
506,1745
507,1043
508,1256
509,254
510,597
511,1582
512,190
513,1279
514,1326
515,810
516,1113
517,1222
518,1623
519,653
520,905
521,224
522,1806
523,1001
524,1845
525,1214
526,248
527,1042
528,1238
529,1778
530,229
531,1852
532,265
533,1003
534,1188
535,1167
536,619
537,1440
538,1969
539,19
540,911
541,935
542,1433
543,108
544,1321
545,940
546,1473
547,257
548,777
549,1827
550,1249
551,701
552,259
553,1059
554,1631
555,995
556,18
557,1773
558,606
559,760
560,1247
561,989
562,759
563,1166
564,777
565,1815
566,527
567,1132
